Country,Year,Policy,Investment (Million USD),Regulations
South Korea,2001,2.0,3779.75,"['Agriculture', 'Industry', 'Household']"
South Korea,2002,1.0,4897.24,"['Agriculture', 'Industry', 'Household']"
South Korea,2003,2.0,6153.55,"['Agriculture', 'Industry', 'Household']"
South Korea,2004,2.0,5159.52,"['Agriculture', 'Industry', 'Household']"
South Korea,2005,2.0,5082.75,"['Agriculture', 'Industry', 'Household']"
South Korea,2006,2.0,4458.14,"['Agriculture', 'Industry', 'Household']"
South Korea,2007,2.0,4949.93,"['Agriculture', 'Industry', 'Household']"
South Korea,2008,2.0,5096.04,"['Agriculture', 'Industry', 'Household']"
South Korea,2009,1.0,4377.11,"['Agriculture', 'Industry', 'Household']"
South Korea,2010,2.0,6050.89,"['Agriculture', 'Industry', 'Household']"
South Korea,2011,2.0,3977.36,"['Agriculture', 'Industry', 'Household']"
South Korea,2012,2.0,5631.54,"['Agriculture', 'Industry', 'Household']"
South Korea,2013,2.0,4774.83,"['Agriculture', 'Industry', 'Household']"
South Korea,2014,2.0,5026.02,"['Agriculture', 'Industry', 'Household']"
South Korea,2015,2.0,2838.38,"['Agriculture', 'Industry', 'Household']"
South Korea,2016,1.0,4698.24,"['Agriculture', 'Industry', 'Household']"
South Korea,2017,2.0,4854.55,"['Agriculture', 'Industry', 'Household']"
South Korea,2018,2.0,4463.97,"['Agriculture', 'Industry', 'Household']"
South Korea,2019,2.0,6003.44,"['Agriculture', 'Industry', 'Household']"
South Korea,2020,2.0,6252.99,"['Agriculture', 'Industry', 'Household']"
South Korea,2021,2.0,4448.05,"['Agriculture', 'Industry', 'Household']"
South Korea,2022,2.0,5835.42,"['Agriculture', 'Industry', 'Household']"
South Korea,2023,2.0,2952.34,"['Agriculture', 'Industry', 'Household']"
South Korea,2024,1.0,5607.87,"['Agriculture', 'Industry', 'Household']"
Spain,2000,2.0,5291.45,"['Agriculture', 'Industry', 'Household']"
Spain,2001,2.0,3640.55,"['Agriculture', 'Industry', 'Household']"
Spain,2002,1.0,4565.17,"['Agriculture', 'Industry', 'Household']"
Spain,2003,2.0,5636.75,"['Agriculture', 'Industry', 'Household']"
Spain,2004,2.0,6362.82,"['Agriculture', 'Industry', 'Household']"
Spain,2005,1.0,4252.67,"['Agriculture', 'Industry', 'Household']"
Spain,2006,2.0,5859.82,"['Agriculture', 'Industry', 'Household']"
Spain,2007,2.0,4469.08,"['Agriculture', 'Industry', 'Household']"
Spain,2008,2.0,6210.84,"['Agriculture', 'Industry', 'Household']"
Spain,2009,2.0,4488.82,"['Agriculture', 'Industry', 'Household']"
Spain,2010,2.0,2986.33,"['Agriculture', 'Industry', 'Household']"
Spain,2011,2.0,4369.8,"['Agriculture', 'Industry', 'Household']"
Spain,2012,2.0,4347.2,"['Agriculture', 'Industry', 'Household']"
Spain,2013,2.0,4561.34,"['Agriculture', 'Industry', 'Household']"
Spain,2014,2.0,3873.22,"['Agriculture', 'Industry', 'Household']"
Spain,2015,2.0,3954.14,"['Agriculture', 'Industry', 'Household']"
Spain,2016,2.0,4089.6,"['Agriculture', 'Industry', 'Household']"
Spain,2017,2.0,4417.81,"['Agriculture', 'Industry', 'Household']"
Spain,2018,2.0,5545.89,"['Agriculture', 'Industry', 'Household']"
Spain,2019,2.0,5672.76,"['Agriculture', 'Industry', 'Household']"
Spain,2020,2.0,4757.22,"['Agriculture', 'Industry', 'Household']"
Spain,2021,2.0,4694.18,"['Agriculture', 'Industry', 'Household']"
Spain,2022,2.0,4339.58,"['Agriculture', 'Industry', 'Household']"
Spain,2023,2.0,4108.9,"['Agriculture', 'Industry', 'Household']"
Spain,2024,2.0,5469.82,"['Agriculture', 'Industry', 'Household']"
Turkey,2000,2.0,6212.65,"['Agriculture', 'Industry', 'Household']"
Turkey,2001,2.0,3724.17,"['Agriculture', 'Industry', 'Household']"
Turkey,2002,2.0,3646.34,"['Agriculture', 'Industry', 'Household']"
Turkey,2003,1.0,3261.13,"['Agriculture', 'Industry', 'Household']"
Turkey,2004,2.0,5802.01,"['Agriculture', 'Industry', 'Household']"
Turkey,2005,1.0,2502.16,"['Agriculture', 'Industry', 'Household']"
Turkey,2006,2.0,2385.78,"['Agriculture', 'Industry', 'Household']"
Turkey,2007,2.0,5075.28,"['Agriculture', 'Industry', 'Household']"
Turkey,2008,2.0,5610.42,"['Agriculture', 'Industry', 'Household']"
Turkey,2009,2.0,5885.59,"['Agriculture', 'Industry', 'Household']"
Turkey,2010,2.0,5594.48,"['Agriculture', 'Industry', 'Household']"
Turkey,2011,2.0,6567.47,"['Agriculture', 'Industry', 'Household']"
Turkey,2012,2.0,5285.62,"['Agriculture', 'Industry', 'Household']"
Turkey,2013,2.0,4864.73,"['Agriculture', 'Industry', 'Household']"
Turkey,2014,2.0,3336.07,"['Agriculture', 'Industry', 'Household']"
Turkey,2015,2.0,5194.17,"['Agriculture', 'Industry', 'Household']"
Turkey,2016,2.0,5464.85,"['Agriculture', 'Industry', 'Household']"
Turkey,2017,2.0,6002.93,"['Agriculture', 'Industry', 'Household']"
Turkey,2018,2.0,3483.94,"['Agriculture', 'Industry', 'Household']"
Turkey,2019,2.0,4541.37,"['Agriculture', 'Industry', 'Household']"
Turkey,2020,1.0,3165.15,"['Agriculture', 'Industry', 'Household']"
Turkey,2021,2.0,4948.12,"['Agriculture', 'Industry', 'Household']"
Turkey,2022,2.0,4942.05,"['Agriculture', 'Industry', 'Household']"
Turkey,2023,2.0,5897.18,"['Agriculture', 'Industry', 'Household']"
Turkey,2024,2.0,5432.17,"['Agriculture', 'Industry', 'Household']"
UK,2000,1.0,5119.78,"['Agriculture', 'Industry', 'Household']"
UK,2001,2.0,6237.29,"['Agriculture', 'Industry', 'Household']"
UK,2002,2.0,5536.77,"['Agriculture', 'Industry', 'Household']"
UK,2003,2.0,4618.7,"['Agriculture', 'Industry', 'Household']"
UK,2004,2.0,3251.32,"['Industry', 'Household']"
UK,2005,2.0,3668.3,"['Agriculture', 'Industry', 'Household']"
UK,2006,2.0,4169.65,"['Agriculture', 'Industry', 'Household']"
UK,2007,2.0,4132.12,"['Agriculture', 'Industry', 'Household']"
UK,2008,2.0,5733.3,"['Agriculture', 'Industry', 'Household']"
UK,2009,No Policy,3328.97,"['Agriculture', 'Industry', 'Household']"
UK,2010,2.0,6334.36,"['Agriculture', 'Industry', 'Household']"
UK,2011,2.0,5405.67,"['Agriculture', 'Industry', 'Household']"
UK,2012,2.0,5830.28,"['Agriculture', 'Industry', 'Household']"
UK,2013,2.0,4700.37,"['Agriculture', 'Industry', 'Household']"
UK,2014,2.0,4027.33,"['Agriculture', 'Industry', 'Household']"
UK,2015,2.0,5238.28,"['Agriculture', 'Industry', 'Household']"
UK,2016,2.0,3945.87,"['Agriculture', 'Industry', 'Household']"
UK,2017,2.0,3611.92,"['Agriculture', 'Industry', 'Household']"
UK,2018,2.0,6284.71,"['Agriculture', 'Industry', 'Household']"
UK,2019,2.0,4750.79,"['Agriculture', 'Industry', 'Household']"
UK,2020,2.0,5533.33,"['Agriculture', 'Industry', 'Household']"
UK,2021,2.0,5258.18,"['Agriculture', 'Industry', 'Household']"
UK,2022,2.0,4719.31,"['Agriculture', 'Industry', 'Household']"
UK,2023,2.0,5190.36,"['Agriculture', 'Industry', 'Household']"
UK,2024,2.0,4987.79,"['Agriculture', 'Industry', 'Household']"
USA,2000,1.0,6313.04,"['Agriculture', 'Industry', 'Household']"
USA,2001,2.0,4451.73,"['Agriculture', 'Industry', 'Household']"
USA,2002,2.0,6061.27,"['Agriculture', 'Industry', 'Household']"
USA,2003,2.0,6017.73,"['Agriculture', 'Industry', 'Household']"
USA,2004,2.0,6262.4,"['Agriculture', 'Industry', 'Household']"
USA,2005,2.0,4657.65,"['Agriculture', 'Industry', 'Household']"
USA,2006,2.0,4447.59,"['Agriculture', 'Industry', 'Household']"
USA,2007,2.0,6496.29,"['Agriculture', 'Industry', 'Household']"
USA,2008,1.0,5482.52,"['Agriculture', 'Industry', 'Household']"
USA,2009,2.0,7436.71,"['Agriculture', 'Industry', 'Household']"
USA,2010,1.0,6262.21,"['Agriculture', 'Industry', 'Household']"
USA,2011,1.0,5569.67,"['Agriculture', 'Industry', 'Household']"
USA,2012,2.0,5892.8,"['Agriculture', 'Industry', 'Household']"
USA,2013,1.0,3187.9,"['Agriculture', 'Industry', 'Household']"
USA,2014,1.0,4554.45,"['Agriculture', 'Industry', 'Household']"
USA,2015,2.0,4515.46,"['Agriculture', 'Industry', 'Household']"
USA,2016,2.0,5029.96,"['Agriculture', 'Industry', 'Household']"
USA,2017,2.0,4315.05,"['Agriculture', 'Industry', 'Household']"
USA,2018,2.0,5681.25,"['Agriculture', 'Industry', 'Household']"
USA,2019,2.0,5478.64,"['Agriculture', 'Industry', 'Household']"
USA,2020,2.0,4180.97,"['Agriculture', 'Industry', 'Household']"
USA,2021,2.0,5720.94,"['Agriculture', 'Industry', 'Household']"
USA,2022,2.0,4409.78,"['Agriculture', 'Industry', 'Household']"
USA,2023,1.0,5668.65,"['Agriculture', 'Industry', 'Household']"
USA,2024,1.0,2494.85,"['Agriculture', 'Industry', 'Household']"
